title,genre,developer,critic_score,total_sales,release_date
Madden NFL 06,Sports,EA Tiburon,8.35,6.82,2005-08-08
Uncharted 2: Among Thieves,Action,Naughty Dog,9.5,6.74,2009-10-13
Tony Hawk's Pro Skater 2,Sports,Neversoft Entertainment,8.925,6.619999999999999,2000-09-20
Madden NFL 10,Sports,EA Tiburon,8.15,6.59,2009-08-14
Just Dance 2014,Music,Ubisoft Paris,7.56,6.42,2013-10-08
NBA 2K16,Sports,Visual Concepts,8.5,6.390000000000001,2015-09-29
L.A. Noire,Adventure,Team Bondi,8.700000000000001,6.39,2011-11-15
Far Cry 4,Shooter,Ubisoft Montreal,8.466666666666667,6.39,2014-11-18
FIFA 07 Soccer,Sports,Team Fusion,7.971428571428571,6.380000000000001,2006-10-03
Need for Speed Carbon,Racing,EA Black Box,7.614285714285715,6.38,2006-10-31
Driver,Action,Reflections Interactive,8.5,6.27,1999-06-30
Madden NFL 13,Sports,EA Tiburon,7.425000000000001,6.22,2012-08-28
Pro Evolution Soccer 2008,Sports,Konami,7.699999999999999,6.2,2008-03-11
Madden NFL 25,Sports,EA Tiburon,7.45,6.16,2013-08-27
Crash Bandicoot: The Wrath of Cortex,Platform,Traveller's Tales,6.45,6.01,2001-10-29
NBA 2K18,Sports,Visual Concepts,7.459999999999999,5.99,2017-09-19
NBA 2K13,Sports,Visual Concepts,8.55,5.91,2012-10-02
FIFA Soccer 09,Sports,EA Canada,8.466666666666667,5.88,2008-10-14
Need for Speed: Hot Pursuit,Racing,Criterion Games,7.9,5.84,2010-11-16
Madden NFL 11,Sports,EA Tiburon,7.833333333333333,5.82,2010-08-10
Far Cry 5,Action,Ubisoft,7.133333333333333,5.8,2018-03-27
Borderlands,Shooter,Gearbox Software,8.266666666666667,5.7700000000000005,2009-10-20
Need for Speed: Most Wanted (2012),Racing,Criterion Games,8.26,5.75,2012-10-30
Madden NFL 2004,Sports,EA Tiburon,9.35,5.74,2003-08-12
Tekken 2,Fighting,Namco,9.1,5.74,1996-08-25
Mortal Kombat (2011),Fighting,NetherRealm Studios,8.633333333333333,5.73,2011-04-19
Madden NFL 17,Sports,EA Tiburon,8.3,5.72,2016-08-23
The Simpsons: Hit & Run,Racing,Radical Entertainment,7.949999999999999,5.69,2003-09-16
The Lord of the Rings: The Return of the King,Action,"Hypnos Entertainment, Inc.",8.325,5.67,2003-11-05
Tomb Raider,Action,Core Design Ltd.,8.8,5.66,1996-11-14
Cooking Mama,Simulation,Office Create,6.6,5.66,2006-09-12
Saints Row: The Third,Action,Volition Inc.,8.3,5.63,2011-11-15
NBA 2K17,Sports,Visual Concepts,8.9,5.5600000000000005,2016-09-16
Medal of Honor: Rising Sun,Shooter,EA Los Angeles,6.25,5.55,2003-11-11
Forza Motorsport 3,Racing,Turn 10 Studios,9.2,5.5,2009-10-27
Sega Superstars Tennis,Sports,Sumo Digital,6.76,5.470000000000001,2008-03-18
LEGO Pirates of the Caribbean: The Video Game,Action,Traveller's Tales,7.116666666666667,5.47,2011-05-10
Fable III,Role-Playing,Lionhead Studios,7.4,5.43,2010-10-26
Madden NFL 12,Sports,EA Tiburon,7.533333333333334,5.41,2011-08-30
MySims,Simulation,EA Redwood Shores,6.9,5.3100000000000005,2007-09-18
Rock Band 2,Misc,Harmonix Music Systems,8.75,5.3100000000000005,2008-09-14
Tony Hawk's Pro Skater 3,Sports,Neversoft Entertainment,8.766666666666666,5.3100000000000005,2001-10-28
